Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Test2,Success,2,0,2024-01-03 10:29:38 +0530,2024-01-03 10:49:39 +0530,0:00:00
Test,Success,3,0,2024-01-03 10:28:18 +0530,2024-01-03 10:54:41 +0530,0:00:00
